review_id,author,rating,date,theme,sentiment,key_insight,feature_mentions,is_churn_risk
0,Jsonman,1,2026-02-01T16:55:23-07:00,features,very_negative,"The updates are causing significant issues with basic POS functions, making it difficult for the team to use the tool effectively.","['till counting tool', 'number pad', 'current bill type']",True
1,sugvolpentaper,1,2026-02-01T07:20:08-07:00,ease-of-use,very_negative,Using another website alongside Shopify is counterproductive and complicates the user experience.,[],True
2,Jovialcity,1,2026-02-01T07:05:09-07:00,support,very_negative,The lack of timely support from Shopify has severely impacted the user's ability to run their business.,"['mobile apps', 'recovery codes']",True
3,86free,5,2026-01-31T16:29:33-07:00,other,very_positive,The reviewer expresses strong satisfaction with their experience.,[],False
4,Nick Aiden’s,1,2026-01-30T10:21:10-07:00,support,very_negative,The reviewer expresses distrust in the company's integrity and dissatisfaction with customer support.,[],True
5,Guess App Store,4,2026-01-29T10:19:50-07:00,ease-of-use,negative,The user encountered an error while trying to log into the app after updating.,"['registration', 'logging in']",True
6,hondzilla,3,2026-01-25T23:44:50-07:00,features,negative,The app drains the phone's battery significantly.,[],True
7,Lensky TDN,5,2026-01-25T21:48:22-07:00,other,very_positive,The seller is very satisfied with the service.,[],False
8,lkagd,5,2026-01-24T06:11:38-07:00,features,very_positive,The Shopify deal is highly praised for its value.,['Shopify deal'],False
9,J (former Robinhood user),1,2026-01-23T22:20:29-07:00,support,very_negative,Shopify's handling of account suspensions and chargebacks can severely impact cash flow for businesses.,"['monthly subscription fee', 'fraudulent chargebacks', 'payment functionality']",True
10,Dr3hgfrr,5,2026-01-22T11:04:01-07:00,other,very_positive,The user expresses strong satisfaction with the product.,[],False
11,Originator 88,2,2026-01-19T09:34:46-07:00,reliability,negative,The app frequently logs out when switching between applications and has poor integration with Shopify store apps.,"['logout issue', 'Shopify store apps']",True
12,qjfidvybrj,3,2026-01-18T23:22:03-07:00,features,neutral,The user is experiencing issues with notifications on their iPhone.,['notifications'],True
13,Окоьор,5,2026-01-18T02:49:14-07:00,ease-of-use,very_positive,The reviewer believes Shopify is the best platform for business.,[],False
14,ljfg,1,2026-01-16T10:01:09-07:00,support,very_negative,The app fails to protect sellers from fraudulent charges and has hidden fees.,[],True
15,Thevmarie,2,2026-01-14T13:07:17-07:00,ease-of-use,negative,The trial version caused significant issues with processing orders and reactivating the full version was complicated.,"['trial version', 'full version', 'payment processing']",True
16,B.biz,1,2026-01-07T16:25:42-07:00,support,very_negative,The user is frustrated with the inability to withdraw funds from their account.,"['withdrawal process', 'account validation']",True
17,Badder34,1,2026-01-06T12:46:40-07:00,pricing,very_negative,The user is frustrated with ongoing charges despite attempts to cancel.,[],True
18,caroysoumas,1,2026-01-05T10:02:57-07:00,support,very_negative,The customer is frustrated with ongoing charges after account deactivation and ineffective support.,[],True
19,iolpo,5,2026-01-04T20:51:42-07:00,features,very_positive,The app enhances the point of sale experience with various helpful features.,[],False
20,Court court!,1,2026-01-04T14:17:11-07:00,other,very_negative,The reviewer expresses strong dissatisfaction with their experience.,[],True
21,didannybeats,5,2026-01-04T09:20:45-07:00,ease-of-use,very_positive,The seller had a smooth experience fulfilling their first order.,[],False
22,Master716248,1,2026-01-03T11:44:35-07:00,support,very_negative,The lack of phone support and poor customer service is frustrating for users.,[],True
23,TheHotDogMan99,1,2026-01-02T23:51:09-07:00,pricing,very_negative,The reviewer feels misled by the short free trial and is frustrated with the payment requirement.,['free trial'],True
24,Gomes’s,5,2026-01-01T13:41:15-07:00,other,very_positive,The reviewer believes Square is the best platform for making money.,[],False
25,Cynical_Potato,1,2026-01-01T07:15:28-07:00,support,very_negative,The user faced significant difficulties in canceling their subscription and reaching customer support.,[],True
26,brandonwilliamsTC,5,2025-12-30T08:20:30-07:00,other,very_positive,The user is optimistic about their financial future with the product.,[],False
27,timk37378228,1,2025-12-29T11:36:38-07:00,features,very_negative,The seller is frustrated due to a lack of notifications.,['notifications'],True
28,Bernabedejesus,5,2025-12-27T18:33:33-07:00,support,very_positive,The customer is enthusiastic about learning and seeks support.,[],False
29,sodanuggets,1,2025-12-25T18:56:46-07:00,pricing,very_negative,The customer feels they were unfairly charged after canceling their payments and deleting their website.,"['website', 'payments']",True
30,jagvgd44,1,2025-12-17T06:34:29-07:00,support,very_negative,The customer is frustrated with the lack of effective support and service failures during a critical time.,"['inventory transfer', 'website downtime']",True
31,ivana hump.,1,2025-12-16T21:16:56-07:00,features,very_negative,The user is frustrated with the excessive use of AI in the update.,['AI'],True
32,Ineedhelp111,3,2025-12-16T09:07:13-07:00,support,negative,The user is frustrated with the lack of effective support regarding payout issues.,"['payout', 'verification']",True
33,Thank god its ultra,5,2025-12-16T04:20:36-07:00,ease-of-use,very_positive,Shopify has significantly helped a teenager start and grow their business.,[],False
34,Nickisan!,4,2025-12-14T21:18:40-07:00,support,negative,The user experienced crashes related to uploading product photos and found the support lacking for mobile app issues.,"['.svg file', 'IOS update', 'app reinstall', 'remove all sessions']",True
35,friendsoflyn,1,2025-12-12T01:12:19-07:00,support,very_negative,The seller experienced significant issues with the service.,[],True
36,joemomma8,1,2025-12-10T18:15:11-07:00,other,very_negative,The product is perceived as a scam and not as advertised.,[],True
37,oroyyelir,1,2025-12-10T03:07:10-07:00,pricing,very_negative,The customer is frustrated about being charged after canceling their subscription.,[],True
38,TJ4life$,1,2025-12-09T21:07:29-07:00,pricing,very_negative,"The user experienced an unexpected charge after deleting an app, indicating issues with pricing transparency.",[],True
39,medlouni,5,2025-12-09T05:21:40-07:00,features,positive,The user is experiencing an issue with the live visitors view on iPhone but still rates the service highly.,['live visitors view'],False
40,slopes king,1,2025-12-07T08:42:23-07:00,other,very_negative,The age restriction for drop shipping is frustrating for potential young sellers.,[],True
41,Pchrman,1,2025-12-07T05:57:57-07:00,ease-of-use,very_negative,The user finds the navigation and functionality of the system difficult to use.,"['POS', 'website template']",True
42,thennonnnn,2,2025-12-06T19:46:32-07:00,ease-of-use,very_negative,"The app is slow and has multiple issues, making it frustrating to use.","['codes', 'personalize', 'configure', 'sales']",True
43,Lucy2814,2,2025-12-06T05:32:19-07:00,features,negative,"The counter widget is not functioning properly with the latest iPhone update, which is disappointing.","['counter widget', 'liquid apps', 'tinted apps']",True
44,Wesley Brawhn,5,2025-12-04T18:17:44-07:00,other,very_positive,The reviewer expresses strong affection for the service.,[],False
45,Dritchh,1,2025-12-03T13:24:34-07:00,ease-of-use,very_negative,The app is not user-friendly and lacks adequate customer support.,"['customer service', 'account cancellation', 'billing']",True
46,moonberryy,1,2025-11-29T12:11:50-07:00,features,very_negative,The user is frustrated with the inability to see product photos and edit image alt titles after an update.,"['product photos', 'image alt titles']",True
47,Furtivetech,1,2025-11-29T07:29:25-07:00,pricing,very_negative,"The platform has high fees and hidden charges, making it an expensive choice.","['servers', 'credit processing']",True
48,Jdub311,1,2025-11-28T19:50:37-07:00,ease-of-use,very_negative,The user finds Shopify's interface overly complicated and frustrating.,[],True
49,Staunton089,1,2025-11-28T18:34:38-07:00,reliability,very_negative,"The app does not allow users to remove credit card information, leading to unauthorized charges.",['credit card information removal'],True
50,aiintaxx,5,2025-11-28T14:45:29-07:00,integration,very_positive,The user appreciates the integration with Shopify.,['Shopify'],False
51,Will P GMS,1,2025-11-27T01:54:30-07:00,pricing,very_negative,The customer is unhappy about an unexpected charge of $39.,[],True
52,Bougie Brown Girl,5,2025-11-26T15:47:09-07:00,features,positive,The user loves the app but has a suggestion for improving the widget counter functionality.,['widget counter'],False
53,Smallbusinessowner1,1,2025-11-21T20:52:04-07:00,pricing,very_negative,The seller feels misled by hidden fees and a lack of refund policy.,"['refund policy', 'program enrollment']",True
54,Remika P,1,2025-11-21T17:35:47-07:00,ease-of-use,very_negative,The user finds the website building process to be extremely difficult and the tutorials outdated.,[],True
55,F&0,2,2025-11-18T21:28:32-07:00,pricing,negative,The user is frustrated with Shopify's inability to allow account cancellation and ongoing charges.,[],True
56,Morgan Ann 86,1,2025-11-17T07:34:54-07:00,pricing,very_negative,The user feels that the service is deceptive with unexpected charges and lacks control over their account and data.,"['apps installation', 'unexpected charges', 'account deletion', 'data control', 'domain access']",True
57,Vocês são complicados,1,2025-11-16T04:48:55-07:00,support,very_negative,The reviewer is dissatisfied with the slow payment process.,[],True
58,Hannah CM,5,2025-11-14T09:58:22-07:00,ease-of-use,very_positive,The user finds Shopify extremely easy to use for creating an e-commerce store.,[],False
59,Sports🏈🏀⚽️🎾⚾️,1,2025-11-14T04:24:21-07:00,ease-of-use,very_negative,Shopify is difficult to use and requires excessive time for learning.,[],True
60,Gtfggggkjjjjuy,1,2025-11-13T12:44:11-07:00,reliability,very_negative,The user experienced issues with order fulfillment and payout processing.,"['Printful', 'payout']",True
61,"baby ""O",1,2025-11-11T13:44:38-07:00,ease-of-use,very_negative,The setup process is difficult for the reviewer.,[],True
62,cazoolio,1,2025-11-10T07:38:18-07:00,support,very_negative,Shopify's lack of support and delayed fund release has caused significant financial strain and frustration.,"['AI chat box', 'email support system', 'banking info update', 'subscription fee']",True
63,Ddf & mattress,1,2025-11-10T06:30:37-07:00,support,very_negative,The customer is extremely frustrated with the lack of support and communication from Shopify regarding their locked account issue.,"['help center', 'live agent', 'verification page', 'photo id']",True
64,Ronnie Hadley,1,2025-11-08T08:56:10-07:00,support,very_negative,The user is frustrated with unauthorized access attempts after cancelling their account.,[],True
65,Stefanelbr,5,2025-11-06T23:41:47-07:00,ease-of-use,very_positive,The platform is highly efficient and easy to use.,[],False
66,Logiejogie,1,2025-11-06T18:03:12-07:00,support,very_negative,The user is frustrated with the lack of support and functionality in managing their account.,"['support page', 'live agent', 'new account for payouts', 'refund process']",True
67,spindoc007,3,2025-11-03T19:42:57-07:00,ease-of-use,negative,The recent update has made the app less user-friendly and more complicated.,"['date selection', 'rolling dates', 'fixed dates']",True
68,alexarugg,3,2025-11-03T07:24:31-07:00,reliability,negative,"The latest update has caused significant glitches, impacting usability.","['app functionality', 'website theme']",True
69,rocklee22,1,2025-10-30T18:40:50-07:00,ease-of-use,very_negative,Recent updates have made the app frustrating to use due to bugs and poor UX changes.,"['date range on the dashboard', '1:1 time period comparisons', 'analytics page UX']",True
70,Lkdhehehe,3,2025-10-29T04:35:09-07:00,ease-of-use,negative,The app is slow and has usability issues that frustrate the user.,[],True
71,LukeP20,5,2025-10-27T04:32:44-07:00,ease-of-use,very_positive,Shopify is significantly better than Squarespace in terms of usability.,[],False
72,bbghn,3,2025-10-26T11:55:47-07:00,features,negative,The inventory editing feature is causing unintended duplication of product quantities.,"['edit settings', 'inventory section', 'barcodes']",True
73,Wynekinners,5,2025-10-25T03:57:18-07:00,ease-of-use,very_positive,The user loves the layout and finds it perfect.,['layout'],False
74,QCHINAE,3,2025-10-20T17:47:45-07:00,features,negative,"The recent update has caused an inability to download product photos, which is a significant inconvenience.",['downloading product photos'],True
75,Celialulu8,1,2025-10-19T19:59:25-07:00,features,very_negative,The updated Shopify App caused the Analytics page to become unavailable.,['Analytics page'],True
76,tiffonee12,5,2025-10-16T10:58:46-07:00,ease-of-use,very_positive,The user is pleased with the ease of setting up their store and accessing its features.,[],False
77,Jpyeinthesky,3,2025-10-14T16:17:13-07:00,ease-of-use,negative,"The recent update has made it more difficult for sellers to navigate photos, causing frustration.","['photo swiping', 'user interface']",True
78,Hoska74,4,2025-10-12T01:43:24-07:00,features,positive,The user is requesting the addition of the Arabic language to the application.,['Arabic language'],False
79,Prince Yaya777,5,2025-10-11T11:05:18-07:00,ease-of-use,very_positive,The user finds Shopify easy to use and is excited about making sales directly from their phone.,"['making a store', 'sales from phone']",False
80,Charlie Dreger,5,2025-10-09T17:18:33-07:00,other,very_positive,Starting a business was a great decision for the reviewer.,[],False
81,MaxWoodstock,1,2025-10-09T12:43:21-07:00,support,very_negative,The customer is dissatisfied with the service and demands a refund.,[],True
82,Mr Anonned,5,2025-10-09T00:52:26-07:00,other,very_positive,The seller appreciates the service and encourages continued excellence.,[],False
83,Aludanick,5,2025-10-06T05:52:46-07:00,support,very_positive,The customer service provided by Jantien was exceptional and efficient.,[],False
84,Fat Fatrick,1,2025-09-30T19:54:48-07:00,features,very_negative,The AI provides inaccurate information and the website has significant glitches.,[],True
85,Don’t Yu use this app,1,2025-09-30T08:14:12-07:00,support,very_negative,The customer is frustrated with the lack of communication and support regarding their account being on hold.,[],True
86,Pennies not made,1,2025-09-28T05:15:54-07:00,pricing,very_negative,The user feels scammed due to being double charged without making any profit.,[],True
87,bloodhoney____,1,2025-09-25T11:56:37-07:00,support,very_negative,The customer is frustrated with the lack of customer service and support.,[],True
88,bob stubs 🏒,1,2025-09-25T09:01:40-07:00,pricing,very_negative,The customer is unhappy with the subscription costs and lack of alerts for payments.,[],True
89,234483,1,2025-09-24T23:12:38-07:00,pricing,very_negative,The user is frustrated with being charged after canceling their subscription.,[],True
90,Huzaifa N,5,2025-09-24T17:47:42-07:00,integration,very_positive,The integration with multiple buying sites is very easy.,[],False
91,Oneandonly12321,2,2025-09-22T15:10:27-07:00,reliability,negative,The analytics and live view features are not functioning as expected for Plus users.,"['analytics', 'live view']",True
92,packcrew,1,2025-09-22T11:00:33-07:00,other,very_negative,The customer is unhappy with the new logo and wants it changed back.,[],True
93,Marcus Verus,1,2025-09-21T19:47:26-07:00,reliability,very_negative,The app stopped working after upgrading to a new phone.,"['captcha', 'request verification']",True
94,JJZ@,1,2025-09-20T06:37:24-07:00,pricing,very_negative,The app incorrectly applies discounts without activation and fails to provide promised free days.,[],True
95,Pp I mayor,1,2025-09-19T06:05:52-07:00,pricing,very_negative,The customer is frustrated with unexpected charges and misleading pricing.,"['subscription', 'basic subscription']",True
96,MNBvPB82,1,2025-09-18T22:16:50-07:00,pricing,very_negative,The user feels they were deceived regarding the pricing and lost money.,[],True
97,zeke…,1,2025-09-18T21:52:05-07:00,pricing,very_negative,The customer was charged after canceling their plan and does not understand the charge.,[],True
98,Shotz4Shotz,5,2025-09-18T20:36:33-07:00,ease-of-use,very_positive,The user is very satisfied with Shopify and feels it helps them build their dream.,[],False
99,Tsum Master,5,2025-09-18T16:11:24-07:00,ease-of-use,very_positive,The app is highly effective for selling online.,[],False
100,breezyherrof,1,2025-09-17T09:57:30-07:00,support,very_negative,The customer is frustrated with the inability to cancel their subscription and lack of support from Shopify.,"['monthly billing', 'chat advisor', 'account access']",True
101,PugistMobile,3,2025-09-16T10:14:19-07:00,reliability,negative,"The app frequently crashes when adding photos, causing significant delays.",['photo upload'],True
102,Paulpar88,1,2025-09-15T09:42:01-07:00,support,very_negative,The customer is frustrated with the lack of effective customer support and account access.,"['customer support', 'account access', 'AI bot']",True
103,Juniorsvg12,1,2025-09-14T12:11:24-07:00,support,very_negative,The reviewer expresses frustration over Shopify's abrupt termination of their store and the withholding of funds.,[],True
104,BABY PICASSO,5,2025-09-11T12:59:46-07:00,features,very_positive,"Shopify is a crucial partner in the growth and success of ARTOMATIC TRILLIONAIRE, providing a seamless platform for luxury art commerce.","['precision in order processing', 'timely delivery of purchases', 'seamless payment tracking and management', 'security', 'flexibility', 'global infrastructure']",False
105,aimekakpo,5,2025-09-09T19:49:49-07:00,ease-of-use,very_positive,The product significantly simplifies business management.,[],False
106,Blueberrymuffins9475,1,2025-09-07T14:20:03-07:00,ease-of-use,very_negative,The login process is problematic due to a captcha issue.,['captcha'],True
107,mitoaglass,1,2025-09-06T11:41:35-07:00,support,very_negative,The user is frustrated with the lack of support and is considering canceling their account.,[],True
108,Chrissy0204,3,2025-09-02T12:32:45-07:00,pricing,very_negative,The reviewer feels that the billing and subscription model is confusing and misleading.,"['billing', 'subscriptions', 'third party app']",True
109,Umer Rehman97,1,2025-08-28T04:43:21-07:00,features,very_negative,The recent updates have significantly slowed down the loading time for home page stats and analytics.,"['home page stats', 'analytics']",True
110,Kingpinman77,5,2025-08-27T07:50:56-07:00,ease-of-use,very_positive,The user finds the app to be great.,[],False
111,jhga123,3,2025-08-25T14:16:08-07:00,support,negative,The customer is frustrated with the lack of support from Shopify regarding account access issues.,"['verification code', 'billing']",True
112,FGYBKQQ,1,2025-08-24T20:26:03-07:00,reliability,very_negative,The financial page and website visitor tracking are not functioning properly.,"['financial page', 'website visitor tracking']",True
113,E. Alexsandra,1,2025-08-23T22:22:22-07:00,other,very_negative,The frequent updates for the app are frustrating and could lead to potential abandonment.,[],True
114,rumvs2,1,2025-08-22T06:55:33-07:00,pricing,very_negative,"The reviewer feels that Shopify is a scam that fails to deliver on its promises, leading to financial loss.",[],True
115,Bart Shrimpson,1,2025-08-20T23:04:16-07:00,features,very_negative,The user is frustrated with the inability to customize their shop or cancel their subscription.,[],True
116,kyl56,1,2025-08-20T20:31:29-07:00,pricing,very_negative,The reviewer is frustrated with the pricing and its impact on their ability to pay bills.,[],True
117,mattsi19,1,2025-08-20T20:03:09-07:00,reliability,very_negative,The app is consistently failing to load and has technical issues during sign-in.,[],True
118,@anonymou$,1,2025-08-20T05:31:43-07:00,support,very_negative,The customer experienced unauthorized charges and poor customer service when disputing the issue.,"['payment', 'website']",True
119,Psychobillycadillac77,1,2025-08-19T18:05:40-07:00,ease-of-use,very_negative,"The user had a frustrating experience with Shopify, citing issues with account management and payment processing.",[],True
120,Joey L123,2,2025-08-19T06:45:48-07:00,support,very_negative,The reviewer had a frustrating experience with account termination and poor support response times.,"['billing process', 'website startup']",True
121,Jmelton76,1,2025-08-17T18:45:02-07:00,reliability,very_negative,The user experiences frequent bugs and issues that severely impact their satisfaction.,"['permission bug', 'app blackout', 'bot traffic spiff']",True
122,hinigc,1,2025-08-17T11:29:46-07:00,support,very_negative,The user is unable to sign in due to a malfunctioning captcha and ineffective tech support.,"['App Captcha', 'tech support']",True
123,Malllllllllisimooooo,1,2025-08-16T12:03:28-07:00,pricing,very_negative,The customer is confused about where their money is going after a purchase.,[],True
124,Cpt Terror,3,2025-08-15T03:04:27-07:00,features,negative,The new update fails to automatically update sales numbers.,['sales numbers'],True
125,Mister Houdini,3,2025-08-14T15:51:01-07:00,features,negative,"The analytics feature frequently has issues with updates, affecting usability.","['analytics pages', 'data refresh', 'date range']",True
126,jbarlowtxcreations,4,2025-08-14T15:26:20-07:00,features,negative,"The latest update has removed the ability to send invoices directly for payment, which is frustrating for the user.","['create an order', 'send it as an invoice', 'create a draft', 'collect payment']",True
127,Davvv16,3,2025-08-13T19:21:48-07:00,ease-of-use,neutral,The app has a scrolling issue that causes frustration when navigating orders.,"['app scrolling', 'order navigation']",True
128,ykthebisness,1,2025-08-13T01:48:03-07:00,pricing,very_negative,The customer feels they were scammed and lost money.,[],True
129,DCottrell7,1,2025-08-11T15:41:17-07:00,support,very_negative,The reviewer is frustrated with the lack of customer service and technical issues.,[],True
130,Trendz and Gemz,1,2025-08-11T03:54:17-07:00,features,very_negative,"Recent updates have severely impacted the functionality and usability of Shopify, leading to frustration and consideration of switching to another platform.","['live view map', 'mobile scanners', 'item number search', 'new search bar']",True
131,D7i,1,2025-08-10T07:40:50-07:00,support,very_negative,The reviewer expresses strong dissatisfaction with Shopify's customer service.,[],True
132,Oneandonlyonlyone,1,2025-08-08T15:52:42-07:00,ease-of-use,very_negative,"The user is experiencing significant issues with the app, leading to frustration and a decision to delete it.",[],True
133,Puddles 19,5,2025-08-07T10:51:47-07:00,features,very_positive,The app has significantly contributed to the user's financial success.,[],False
134,JORDANLADINES,5,2025-08-05T14:02:51-07:00,ease-of-use,very_positive,Shopify is easy to set up and affordable for starting a store.,"['easy to set up', 'cost']",False
135,Root of Evil Apparel,5,2025-08-05T06:44:30-07:00,ease-of-use,very_positive,The platform effectively helped the user start their first business and generate income.,[],False
136,Rugplug,1,2025-08-04T09:27:48-07:00,pricing,very_negative,The reviewer feels cheated by the high cost and lack of refund for the service.,['website'],True
137,.noJ,3,2025-08-03T10:08:39-07:00,ease-of-use,negative,The user is frustrated with the verification process hindering their ability to complete necessary steps.,"['check mark verification', 'robot scam']",True
138,Jose mirafuentes,1,2025-08-01T17:25:17-07:00,pricing,very_negative,The user experienced unauthorized charges and is considering legal action.,[],True
139,Fan in L A,3,2025-07-30T13:15:53-07:00,reliability,neutral,"Frequent updates cause functionality issues, but the user finds the platform easy to use.",['finance button'],False
140,Nickoli Wade,1,2025-07-30T06:12:44-07:00,support,very_negative,The reviewer is frustrated with the lack of customer service.,[],True
141,frosty the doeman,5,2025-07-25T13:55:30-07:00,support,very_positive,The transition from SquareSpace to this platform provided significantly better support and mobile functionality.,"['mobile functionality', 'support', 'options']",False
142,kingofclubs1234,3,2025-07-25T10:07:29-07:00,ease-of-use,negative,The collaborator request acceptance process is poorly designed and not user-friendly.,"['collaborator request page', 'accept request', 'assign a role']",True
143,Mrs. Posty,1,2025-07-23T11:03:32-07:00,pricing,very_negative,The user experienced unexpected charges leading to cancellations.,[],True
144,Urboigoku,1,2025-07-19T09:14:09-07:00,support,very_negative,The user feels that Shopify's support is inadequate and has led to their account termination without reason.,"['account termination', 'proof of sale']",True
145,hoedomaggins,1,2025-07-18T06:31:39-07:00,support,very_negative,The customer is frustrated with the lack of timely support and being locked out of their account.,[],True
146,Lanaatk,5,2025-07-13T13:55:42-07:00,other,very_positive,The reviewer highly recommends the product for business success.,[],False
147,Bill13456742,1,2025-07-13T09:21:53-07:00,ease-of-use,very_negative,"The new update significantly complicates navigation and readability, making it frustrating for users.","['dark mode', 'light mode', 'menu navigation', 'chatty bot AIs']",True
148,Mommarosa Blooms,2,2025-07-10T05:07:49-07:00,support,very_negative,"The user is frustrated with the lack of timely support and account verification, impacting their ability to ship orders.","['shipping labels', 'customer support']",True
149,Ronny091,3,2025-07-08T18:50:31-07:00,ease-of-use,negative,The app has become laggy and inconvenient to use after an update.,[],True
150,JJ71769,1,2025-07-07T18:46:24-07:00,support,very_negative,The customer feels wronged due to a lack of support and resolution regarding a stolen amount.,[],True
151,Dimplesday 1,1,2025-07-07T05:20:32-07:00,ease-of-use,very_negative,"The product setup is complicated and lacks necessary components, leading to frustration.",['mobile app'],True
152,EishaPeisha,1,2025-07-06T13:44:49-07:00,support,very_negative,"The reviewer is frustrated with constant issues and poor support from Square, leading to dissatisfaction and financial concerns.","['website setup', 'trial extension', 'premium pages']",True
153,Kielstet,2,2025-07-01T10:00:03-07:00,ease-of-use,negative,The app is frustrating to use due to pauses and refresh issues.,"['balance separation', 'app performance']",True
154,montrayvious,5,2025-06-29T07:04:58-07:00,ease-of-use,very_positive,The user finds the platform easy to use but is concerned about fund holding.,[],True
155,MHW2104,3,2025-06-26T08:36:39-07:00,ease-of-use,neutral,The TikTok integrated app has great features but is frustrating to use on mobile.,"['TikTok integrated app', 'mobile version', 'updates']",True
156,thamysorel,1,2025-06-26T06:08:00-07:00,reliability,very_negative,The reviewer feels scammed and expresses frustration over losing access to their funds and account.,"['account access', 'payout', 'appeal process']",True
157,trans-latinx,2,2025-06-24T20:35:31-07:00,features,negative,The user is dissatisfied with the app's performance and the lack of a dark mode option.,['dark mode'],True
158,Supremeverified,5,2025-06-24T11:36:00-07:00,other,very_positive,The seller expresses high satisfaction.,[],False
159,Nakniko,1,2025-06-24T11:30:28-07:00,support,very_negative,The customer feels cheated due to a missing product and inadequate support from Shopify.,"['help and support', 'refund']",True
160,Mil&no,1,2025-06-23T20:04:12-07:00,support,very_negative,The reviewer is frustrated with the lack of accountability and compensation regarding a tax document issue.,['1099'],True
161,Mosey_d,1,2025-06-22T17:28:02-07:00,reliability,very_negative,The user is frustrated with being constantly logged out and missing a Home Screen widget.,['Home Screen widget'],True
162,Adrienne Brooke,1,2025-06-21T23:54:16-07:00,support,very_negative,The customer is frustrated with the lack of effective support and has decided to close their account.,"['AI tool', 'authentication code']",True
163,Niki Minaj DSP,1,2025-06-21T13:51:30-07:00,ease-of-use,very_negative,The app is difficult to use and has many bugs.,[],True
164,Rountrees,5,2025-06-21T07:25:04-07:00,features,positive,The app is great but has a minor issue with capturing Shop Pay from mobile.,['Shop Pay'],False
165,Natalie Hue21,5,2025-06-19T06:20:13-07:00,support,very_positive,The customer appreciates the quick and helpful support provided by Shopify.,['Chat/Ai Bot'],False
